"unitid","cityid","avgbaserate","dogs","maxoccupancyadults","fullbaths","terminated","bedrooms","beachaccess","hottub"
251,41,0,,,2,1,4,"Drive 5 miles south on 89 to Tahoe City.  After the light, look for a right to Commons Beach. About a 13 minute drive.",-1
536,44,0,,0,2,1,5,Walk down Ellis to the Lake.,-1
876,84,0,,,3,1,4,"0",1
1332,130,0,1,,4,1,4,,1
1374,43,0,,,2,1,3,,
1439,130,0,1,,6,0,8,"",1
2232,225,138,1,0,2,1,3,"Lake Elsinore is 10 minutes from home. 
For more information & lake activities please visit: 
http://www.lake-elsinore.org",-1
2648,280,0,,,0,0,,,
2701,164,0,,,1,0,1,,-1
2799,190,60,,0,1,1,0,,-1
3277,368,106,,0,1,1,1,One block walk to the ocean and public beach. Pet friendly dogs on-leash.,2
3583,56,103,,,2,1,2,,-1
3690,32,0,,0,5,1,5,,-1
3804,43,0,,,0,0,,,-1
3805,46,0,,,0,0,,,-1
3806,32,0,,,0,0,,,-1
3951,130,0,,,0,0,,,-1
4134,32,252,,,1,1,1,,2
4265,464,127,1,,2,1,2,,-1
4267,464,132,,,2,1,2,,-1
4523,464,134,1,,2,1,2,,1
4535,464,132,,,1,1,3,,-1
4713,368,124,,,1,1,1,,2
4844,32,137,,0,1,1,0,,2
5225,32,419,,,4,1,5,,2
5271,127,0,,,0,0,0,,-1
5348,286,0,,,0,0,0,,-1
5446,84,0,,,2,1,3,,2
5592,48,0,,,2,0,3,,-1
5659,41,0,1,0,3,0,4,,-1
5672,165,0,,,2,1,2,Yes- 3 blocks West down Long Branch there is beach access.,-1
5849,464,148,1,8,2,1,2,,-1
6259,286,139,,0,2,1,2,,2
6342,464,145,,0,2,1,2,,-1
7139,56,101,,,1,1,1,,-1
7275,78,0,,,0,0,0,,-1
7659,32,0,,,1,1,1,,-1
8004,324,0,,,1,0,1,,-1
8076,84,0,1,,1,1,2,,-1
8115,566,0,,,2,0,3,,-1
8208,464,122,,4,1,1,2,,-1
9290,368,340,,,3,1,4,,-1
9734,190,0,,,1,1,1,,-1
9735,190,0,,,1,1,1,,-1
9736,190,0,,,1,1,1,,-1
9776,2925,150,,,2,1,3,,-1
9943,32,275,,,3,1,4,,1
10014,165,0,,,2,0,2,,-1
10127,464,0,,,1,1,1,,-1
10307,2961,305,,,2,1,3,,-1
10356,464,130,1,4,1,1,2,,-1
10425,130,0,,,2,0,3,,-1
10559,46,118,,,1,1,1,,2
10906,371,0,,,4,0,5,,-1
10907,371,0,,,2,0,2,,-1
10908,371,0,,,4,0,4,,-1
10936,84,0,,,3,1,4,,-1
10990,545,135,1,8,1,1,2,,-1
11062,234,232,,,3,1,3,,1
12013,84,0,,,1,1,2,,-1
12068,84,0,,,1,1,2,,-1
12084,127,129,1,,2,1,1,,2
12091,324,160,,,1,1,0,,-1
12215,127,0,,,2,1,4,,1
12530,46,0,,,3,0,5,,-1
12559,164,0,1,,1,0,1,,1
12700,84,0,,,0,0,0,,-1
13281,194,0,1,,2,1,3,,-1
14060,84,0,,,1,1,1,,2
14079,545,189,,,2,1,3,,-1
14093,545,0,1,,2,1,3,,-1
14148,84,0,,,2,1,3,,-1
14424,590,0,1,,1,0,3,,-1
14466,130,0,,,11,1,9,,-1
14468,130,0,,,10,1,8,,-1
14469,130,0,,,1,1,1,,-1
14479,46,146,1,,1,1,2,Beach access is 1/2 block or less than a five-minute walk to the spectacular Speedboat Beach.,-1
14521,351,0,,,2,1,2,,-1
14713,163,0,,,1,1,1,,2
15169,32,0,,,3,1,3,,-1
15240,206,0,,,0,0,0,,-1
15243,545,0,,,0,0,0,,-1
15424,157,212,,4,1,1,1,,-1
15590,505,0,,6,2,1,2,,2
15622,590,0,1,,3,0,3,,-1
15729,204,0,,,3,0,3,,-1
16119,63,0,,,1,1,1,,-1
16121,63,0,,,2,1,2,,-1
16122,63,0,,,2,1,2,,-1
16123,63,0,,,5,1,5,,-1
16124,63,0,,,3,1,3,,-1
16125,63,0,,,3,1,3,,-1
16126,63,0,,,4,1,4,,-1
16217,464,0,,,3,0,4,,1
16610,165,0,,,2,1,3,,-1
16625,32,328,,,3,1,3,Donner lake is about 3 miles away,-1
16642,1059,0,,,1,0,1,,-1
17026,63,0,,,1,1,2,,-1
17042,2983,0,,,2,1,3,,-1
17077,32,189,1,,2,1,3,,2
17196,590,0,,,3,0,3,,-1
17478,1164,0,,,2,0,2,,-1
17619,528,0,,,2,0,3,,-1
17670,32,0,1,,2,0,2,,-1
17690,545,130,,,2,1,2,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
17921,223,0,1,,1,1,2,,-1
17985,84,0,,,2,1,3,,-1
18108,836,0,,,2,1,4,,
18481,127,129,,,2,1,1,,2
18582,164,0,,,1,0,1,,-1
18663,194,0,1,,3,0,4,,-1
18777,3219,192,,,2,1,4,,-1
18797,3219,150,,,1,1,3,,-1
18803,3222,106,1,,2,1,2,,-1
19113,1344,0,,,3,1,3,,1
19308,164,0,0,,1,1,1,,1
19350,32,0,0,,3,0,3,,-1
19397,43,0,,,2,0,3,,
19735,164,0,,,1,1,2,,
19843,204,0,,,2,1,3,,2
19910,32,0,,,2,0,3,,
19973,32,0,1,,2,0,3,,
20217,590,0,,,2,0,3,,
20218,590,0,,,2,0,3,,
20388,1359,0,,,1,1,2,,-1
20489,118,0,,,1,0,3,,
20660,464,130,1,,2,1,2,,-1
20700,471,0,,,0,0,0,,-1
20702,471,0,,,2,1,3,,-1
20703,471,0,,,0,0,0,,-1
20704,471,0,,,0,0,0,,-1
20705,471,0,0,,0,0,0,,-1
20706,471,0,0,,0,0,0,,-1
20707,471,0,0,,0,0,0,,-1
20710,471,0,0,,0,0,0,,-1
20711,471,0,0,,0,0,0,,-1
20781,84,0,0,,0,0,3,,-1
20790,32,0,,,1,0,1,,
21038,223,0,,,1,1,2,,-1
21214,471,0,0,,0,0,0,,-1
21229,545,143,,,2,1,3,,-1
21303,2983,0,1,,1,0,3,,-1
21508,127,0,,,1,1,1,,-1
21531,43,0,,,3,1,3,,-1
21570,1359,0,,,2,1,3,,1
22305,84,0,1,,2,1,3,,1
22343,165,0,1,,3,0,3,,1
22476,1372,0,,,2,0,2,,
22747,281,0,,,2,0,3,,-1
22766,2983,0,1,,2,0,4,,-1
22826,1059,0,,,3,0,4,,
22986,165,0,,,1,0,1,,
22987,165,0,,,1,0,1,,
22988,165,0,,,1,0,1,,
23191,164,0,,,2,0,4,,-1
24111,3219,0,1,,2,0,2,,-1
24647,32,0,0,,3,1,5,,2
24762,164,0,,,3,0,5,,1
